row_id,customer_prior_txn_count,customer_prior_abs_amount_sum,customer_prior_abs_value_sum,customer_prior_abs_amount_mean,customer_prior_abs_value_mean,customer_prior_max_abs_amount,customer_days_since_prev_txn,customer_tenure_days,customer_prior_unique_product_categories,customer_prior_unique_channels,customer_prior_same_product_count,customer_prior_same_channel_count,customer_prior_weekend_share
TRAIN_97,0,0.0,0.0,,,0.0,,0.0,0,0,0,0,
TRAIN_107,1,5000.0,5000.0,5000.0,5000.0,5000.0,1.944537037037037,1.944537037037037,1,1,0,1,0.0
TRAIN_113,2,7000.0,7000.0,3500.0,3500.0,5000.0,1.476550925925926,3.421087962962963,2,1,1,2,0.5
TRAIN_114,3,9000.0,9000.0,3000.0,3000.0,5000.0,0.025486111111111112,3.446574074074074,2,1,1,3,0.3333333333333333
UNLINKED_11440,4,11000.0,11000.0,2750.0,2750.0,5000.0,86.08700231481481,89.53357638888889,2,1,0,0,0.25
UNLINKED_9714,5,191000.0,196400.0,38200.0,39280.0,180000.0,12.452210648148148,101.98578703703704,3,2,1,1,0.2
UNLINKED_9712,6,207000.0,212880.0,34500.0,35480.0,180000.0,0.002951388888888889,101.98873842592593,3,2,2,2,0.16666666666666666
UNLINKED_9678,7,208000.0,213880.0,29714.285714285714,30554.285714285714,180000.0,0.7717939814814815,102.76053240740741,3,2,3,3,0.14285714285714285
UNLINKED_9592,8,209000.0,214880.0,26125.0,26860.0,180000.0,0.9416898148148148,103.70222222222222,3,2,4,4,0.125
UNLINKED_9524,9,210000.0,215880.0,23333.333333333332,23986.666666666668,180000.0,0.9096875,104.61190972222222,3,2,5,5,0.1111111111111111
UNLINKED_6584,10,212000.0,217880.0,21200.0,21788.0,180000.0,34.23652777777778,138.8484375,3,2,0,6,0.1
UNLINKED_6582,11,311000.0,316880.0,28272.727272727272,28807.272727272728,180000.0,0.01929398148148148,138.86773148148148,4,2,6,7,0.09090909090909091
UNLINKED_6581,12,312000.0,317880.0,26000.0,26490.0,180000.0,0.0011111111111111111,138.86884259259259,4,2,7,8,0.08333333333333333
UNLINKED_6577,13,314000.0,319880.0,24153.846153846152,24606.153846153848,180000.0,0.014837962962962963,138.88368055555554,4,2,2,9,0.07692307692307693
UNLINKED_6575,14,317000.0,322880.0,22642.85714285714,23062.85714285714,180000.0,0.0009490740740740741,138.88462962962964,4,2,8,10,0.07142857142857142
UNLINKED_6573,15,318500.0,324380.0,21233.333333333332,21625.333333333332,180000.0,0.0017476851851851852,138.8863773148148,4,2,9,11,0.06666666666666667
UNLINKED_6572,16,319500.0,325380.0,19968.75,20336.25,180000.0,0.0010185185185185184,138.88739583333333,4,2,10,12,0.0625
UNLINKED_6571,17,320500.0,326380.0,18852.941176470587,19198.823529411766,180000.0,0.0017939814814814815,138.8891898148148,4,2,11,13,0.058823529411764705
UNLINKED_6570,18,322500.0,328380.0,17916.666666666668,18243.333333333332,180000.0,0.0007060185185185185,138.88989583333333,4,2,12,14,0.05555555555555555
UNLINKED_6569,19,323500.0,329380.0,17026.315789473683,17335.78947368421,180000.0,0.0006481481481481481,138.89054398148147,4,2,13,15,0.05263157894736842
UNLINKED_6568,20,324500.0,330380.0,16225.0,16519.0,180000.0,0.0019675925925925924,138.89251157407406,4,2,2,16,0.05
UNLINKED_6567,21,325500.0,331380.0,15500.0,15780.0,180000.0,0.002199074074074074,138.89471064814813,4,2,14,17,0.047619047619047616
UNLINKED_6565,22,326500.0,332380.0,14840.90909090909,15108.181818181818,180000.0,0.0019444444444444444,138.8966550925926,4,2,15,18,0.045454545454545456
UNLINKED_6564,23,327500.0,333380.0,14239.130434782608,14494.782608695652,180000.0,0.005208333333333333,138.90186342592594,4,2,16,19,0.043478260869565216
UNLINKED_6561,24,328000.0,333880.0,13666.666666666666,13911.666666666666,180000.0,0.0062268518518518515,138.90809027777777,4,2,17,20,0.041666666666666664
UNLINKED_6559,25,328500.0,334380.0,13140.0,13375.2,180000.0,0.0017013888888888888,138.90979166666668,4,2,18,21,0.04
UNLINKED_6558,26,329500.0,335380.0,12673.076923076924,12899.23076923077,180000.0,0.003125,138.91291666666666,4,2,19,22,0.038461538461538464
UNLINKED_6556,27,330500.0,336380.0,12240.74074074074,12458.518518518518,180000.0,0.0011111111111111111,138.9140277777778,4,2,3,23,0.037037037037037035
UNLINKED_6555,28,331500.0,337380.0,11839.285714285714,12049.285714285714,180000.0,0.0009722222222222222,138.915,4,2,20,24,0.03571428571428571
UNLINKED_6553,29,336500.0,342380.0,11603.448275862069,11806.206896551725,180000.0,0.0033680555555555556,138.91836805555556,4,2,21,25,0.034482758620689655
UNLINKED_6552,30,338500.0,344380.0,11283.333333333334,11479.333333333334,180000.0,0.000787037037037037,138.9191550925926,4,2,22,26,0.03333333333333333
UNLINKED_6551,31,339500.0,345380.0,10951.612903225807,11141.290322580646,180000.0,0.0024074074074074076,138.9215625,4,2,23,27,0.03225806451612903
UNLINKED_6550,32,340500.0,346380.0,10640.625,10824.375,180000.0,0.0008333333333333334,138.92239583333333,4,2,24,28,0.03125
UNLINKED_6549,33,342500.0,348380.0,10378.787878787878,10556.969696969696,180000.0,0.0025,138.92489583333332,4,2,25,29,0.030303030303030304
UNLINKED_6548,34,343500.0,349380.0,10102.941176470587,10275.882352941177,180000.0,0.0053125,138.93020833333333,4,2,26,30,0.029411764705882353
UNLINKED_6547,35,344500.0,350380.0,9842.857142857143,10010.857142857143,180000.0,0.0042592592592592595,138.9344675925926,4,2,27,31,0.02857142857142857
UNLINKED_6546,36,345500.0,351380.0,9597.222222222223,9760.555555555555,180000.0,0.0023148148148148147,138.9367824074074,4,2,28,32,0.027777777777777776
UNLINKED_6545,37,347500.0,353380.0,9391.891891891892,9550.81081081081,180000.0,0.0005787037037037037,138.9373611111111,4,2,29,33,0.02702702702702703
UNLINKED_6544,38,348500.0,354380.0,9171.052631578947,9325.78947368421,180000.0,0.0007638888888888889,138.938125,4,2,30,34,0.02631578947368421
UNLINKED_6543,39,349500.0,355380.0,8961.538461538461,9112.307692307691,180000.0,0.006053240740740741,138.94417824074074,4,2,31,35,0.02564102564102564
UNLINKED_6542,40,350500.0,356380.0,8762.5,8909.5,180000.0,0.003287037037037037,138.94746527777778,4,2,32,36,0.025
UNLINKED_6541,41,351500.0,357380.0,8573.170731707318,8716.585365853658,180000.0,0.005497685185185185,138.95296296296297,4,2,33,37,0.024390243902439025
UNLINKED_6539,42,352500.0,358380.0,8392.857142857143,8532.857142857143,180000.0,0.0016666666666666668,138.95462962962964,4,2,34,38,0.023809523809523808
UNLINKED_6538,43,353500.0,359380.0,8220.93023255814,8357.67441860465,180000.0,0.0007407407407407407,138.95537037037036,4,2,35,39,0.023255813953488372
UNLINKED_6537,44,354500.0,360380.0,8056.818181818182,8190.454545454545,180000.0,0.0006365740740740741,138.95600694444445,4,2,36,40,0.022727272727272728
UNLINKED_6536,45,355500.0,361380.0,7900.0,8030.666666666667,180000.0,0.0013773148148148147,138.95738425925927,4,2,37,41,0.022222222222222223
UNLINKED_6535,46,356500.0,362380.0,7750.0,7877.826086956522,180000.0,0.002395833333333333,138.95978009259258,4,2,38,42,0.021739130434782608
UNLINKED_6534,47,357500.0,363380.0,7606.382978723404,7731.489361702128,180000.0,0.0014351851851851852,138.96121527777777,4,2,39,43,0.02127659574468085
UNLINKED_6533,48,358500.0,364380.0,7468.75,7591.25,180000.0,0.0006018518518518519,138.96181712962962,4,2,40,44,0.020833333333333332
UNLINKED_6532,49,359500.0,365380.0,7336.734693877551,7456.734693877551,180000.0,0.0005671296296296297,138.96238425925927,4,2,41,45,0.02040816326530612
UNLINKED_6531,50,360500.0,366380.0,7210.0,7327.6,180000.0,0.0016550925925925926,138.96403935185185,4,2,42,46,0.02
UNLINKED_6526,51,361500.0,367380.0,7088.235294117647,7203.529411764706,180000.0,0.0658912037037037,139.02993055555555,4,2,3,47,0.0196078431372549
UNLINKED_6513,52,377500.0,383380.0,7259.615384615385,7372.692307692308,180000.0,0.44623842592592594,139.4761689814815,4,2,4,48,0.019230769230769232
UNLINKED_6509,53,384500.0,390380.0,7254.7169811320755,7365.66037735849,180000.0,0.031157407407407408,139.50732638888888,4,2,43,49,0.018867924528301886
UNLINKED_6493,54,389500.0,395380.0,7212.962962962963,7321.851851851852,180000.0,0.1197337962962963,139.62706018518517,4,2,44,50,0.018518518518518517
UNLINKED_6486,55,391500.0,397380.0,7118.181818181818,7225.090909090909,180000.0,0.046828703703703706,139.67388888888888,4,2,45,51,0.01818181818181818
UNLINKED_6429,56,393500.0,399380.0,7026.785714285715,7131.785714285715,180000.0,0.7481018518518519,140.42199074074074,4,2,46,52,0.017857142857142856
UNLINKED_6372,57,398500.0,404380.0,6991.228070175439,7094.3859649122805,180000.0,0.2369212962962963,140.65891203703703,4,2,47,53,0.017543859649122806
UNLINKED_6332,58,400500.0,406380.0,6905.172413793103,7006.551724137931,180000.0,0.31025462962962963,140.96916666666667,4,2,48,54,0.017241379310344827
UNLINKED_6299,59,402500.0,408380.0,6822.033898305085,6921.6949152542375,180000.0,0.6191435185185186,141.58831018518518,4,2,49,55,0.01694915254237288
UNLINKED_6279,60,404500.0,410380.0,6741.666666666667,6839.666666666667,180000.0,0.17614583333333333,141.76445601851853,4,2,50,56,0.03333333333333333
UNLINKED_6278,61,406500.0,412380.0,6663.934426229508,6760.327868852459,180000.0,0.03361111111111111,141.79806712962963,4,2,51,57,0.04918032786885246
UNLINKED_6231,62,407500.0,413380.0,6572.580645161291,6667.419354838709,180000.0,1.130625,142.92869212962964,4,2,52,58,0.06451612903225806
UNLINKED_6223,63,409500.0,415380.0,6500.0,6593.333333333333,180000.0,0.05740740740740741,142.98609953703703,4,2,53,59,0.07936507936507936
UNLINKED_6220,64,411500.0,417380.0,6429.6875,6521.5625,180000.0,0.00525462962962963,142.99135416666667,4,2,54,60,0.09375
UNLINKED_5821,65,413500.0,419380.0,6361.538461538462,6452.0,180000.0,6.067465277777778,149.05881944444445,4,2,55,61,0.1076923076923077
UNLINKED_3770,66,414068.0,419948.0,6273.757575757576,6362.848484848485,180000.0,26.940324074074073,175.9991435185185,4,2,1,62,0.12121212121212122
UNLINKED_3769,67,436068.0,441948.0,6508.477611940299,6596.238805970149,180000.0,0.0027083333333333334,176.00185185185185,4,2,4,63,0.11940298507462686
